station,line,destination,day_type,csv,last_update,error_code,url
川崎新町,南武線,浜川崎方面 ,土・休日,nambu_143.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt0528/0528021p.html
八丁畷,南武線,尻手方面 ,平日,nambu_144.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1235/1235010p.html
八丁畷,南武線,尻手方面 ,土・休日,nambu_145.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1235/1235011p.html
八丁畷,南武線,浜川崎方面 ,平日,nambu_146.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1235/1235020p.html
八丁畷,南武線,浜川崎方面 ,土・休日,nambu_147.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1235/1235021p.html
中野,東西線,西船橋方面,平日,tozai_0.csv,2021-12-30,24,https://www.tokyometro.jp/station/nakano/timetable/tozai/a/index_print.html
中野,東西線,西船橋方面,土・休日,tozai_1.csv,2021-12-30,24,https://www.tokyometro.jp/station/nakano/timetable/tozai/a/holiday_print.html
落合,東西線,中野方面,平日,tozai_2.csv,2021-12-30,12,https://www.tokyometro.jp/station/ochiai/timetable/tozai/b/index_print.html
落合,東西線,中野方面,土・休日,tozai_3.csv,2021-12-30,8,https://www.tokyometro.jp/station/ochiai/timetable/tozai/b/holiday_print.html
落合,東西線,西船橋方面,平日,tozai_4.csv,2021-12-30,24,https://www.tokyometro.jp/station/ochiai/timetable/tozai/a/index_print.html
落合,東西線,西船橋方面,土・休日,tozai_5.csv,2021-12-30,24,https://www.tokyometro.jp/station/ochiai/timetable/tozai/a/holiday_print.html
高田馬場,東西線,中野方面,平日,tozai_6.csv,2021-12-30,8,https://www.tokyometro.jp/station/takadanobaba/timetable/tozai/b/index_print.html
高田馬場,東西線,中野方面,土・休日,tozai_7.csv,2021-12-30,8,https://www.tokyometro.jp/station/takadanobaba/timetable/tozai/b/holiday_print.html
高田馬場,東西線,西船橋方面,平日,tozai_8.csv,2021-12-30,24,https://www.tokyometro.jp/station/takadanobaba/timetable/tozai/a/index_print.html
高田馬場,東西線,西船橋方面,土・休日,tozai_9.csv,2021-12-30,24,https://www.tokyometro.jp/station/takadanobaba/timetable/tozai/a/holiday_print.html
早稲田,東西線,中野方面,平日,tozai_10.csv,2021-12-30,12,https://www.tokyometro.jp/station/waseda/timetable/tozai/b/index_print.html
早稲田,東西線,中野方面,土・休日,tozai_11.csv,2021-12-30,8,https://www.tokyometro.jp/station/waseda/timetable/tozai/b/holiday_print.html
早稲田,東西線,西船橋方面,平日,tozai_12.csv,2021-12-30,8,https://www.tokyometro.jp/station/waseda/timetable/tozai/a/index_print.html
早稲田,東西線,西船橋方面,土・休日,tozai_13.csv,2021-12-30,8,https://www.tokyometro.jp/station/waseda/timetable/tozai/a/holiday_print.html
神楽坂,東西線,中野方面,平日,tozai_14.csv,2021-12-30,8,https://www.tokyometro.jp/station/kagurazaka/timetable/tozai/b/index_print.html
神楽坂,東西線,中野方面,土・休日,tozai_15.csv,2021-12-30,8,https://www.tokyometro.jp/station/kagurazaka/timetable/tozai/b/holiday_print.html
神楽坂,東西線,西船橋方面,平日,tozai_16.csv,2021-12-30,8,https://www.tokyometro.jp/station/kagurazaka/timetable/tozai/a/index_print.html
神楽坂,東西線,西船橋方面,土・休日,tozai_17.csv,2021-12-30,8,https://www.tokyometro.jp/station/kagurazaka/timetable/tozai/a/holiday_print.html
飯田橋,東西線,中野方面,平日,tozai_18.csv,2021-12-30,8,https://www.tokyometro.jp/station/iidabashi/timetable/tozai/b/index_print.html
飯田橋,東西線,中野方面,土・休日,tozai_19.csv,2021-12-30,8,https://www.tokyometro.jp/station/iidabashi/timetable/tozai/b/holiday_print.html
飯田橋,東西線,西船橋方面,平日,tozai_20.csv,2021-12-30,8,https://www.tokyometro.jp/station/iidabashi/timetable/tozai/a/index_print.html
飯田橋,東西線,西船橋方面,土・休日,tozai_21.csv,2021-12-30,8,https://www.tokyometro.jp/station/iidabashi/timetable/tozai/a/holiday_print.html
九段下,東西線,中野方面,平日,tozai_22.csv,2021-12-30,8,https://www.tokyometro.jp/station/kudanshita/timetable/tozai/b/index_print.html
九段下,東西線,中野方面,土・休日,tozai_23.csv,2021-12-30,8,https://www.tokyometro.jp/station/kudanshita/timetable/tozai/b/holiday_print.html
九段下,東西線,西船橋方面,平日,tozai_24.csv,2021-12-30,8,https://www.tokyometro.jp/station/kudanshita/timetable/tozai/a/index_print.html
九段下,東西線,西船橋方面,土・休日,tozai_25.csv,2021-12-30,8,https://www.tokyometro.jp/station/kudanshita/timetable/tozai/a/holiday_print.html
竹橋,東西線,中野方面,平日,tozai_26.csv,2021-12-30,8,https://www.tokyometro.jp/station/takebashi/timetable/tozai/b/index_print.html
竹橋,東西線,中野方面,土・休日,tozai_27.csv,2021-12-30,8,https://www.tokyometro.jp/station/takebashi/timetable/tozai/b/holiday_print.html
竹橋,東西線,西船橋方面,平日,tozai_28.csv,2021-12-30,8,https://www.tokyometro.jp/station/takebashi/timetable/tozai/a/index_print.html
竹橋,東西線,西船橋方面,土・休日,tozai_29.csv,2021-12-30,8,https://www.tokyometro.jp/station/takebashi/timetable/tozai/a/holiday_print.html
大手町,東西線,中野方面,平日,tozai_30.csv,2021-12-30,8,https://www.tokyometro.jp/station/otemachi/timetable/tozai/b/index_print.html
大手町,東西線,中野方面,土・休日,tozai_31.csv,2021-12-30,8,https://www.tokyometro.jp/station/otemachi/timetable/tozai/b/holiday_print.html
大手町,東西線,西船橋方面,平日,tozai_32.csv,2021-12-30,8,https://www.tokyometro.jp/station/otemachi/timetable/tozai/a/index_print.html
大手町,東西線,西船橋方面,土・休日,tozai_33.csv,2021-12-30,8,https://www.tokyometro.jp/station/otemachi/timetable/tozai/a/holiday_print.html
